104838	13384	Testosteron, cəmi	Laboratuar Hizmeti	1337	2.4.208
104457	13361	Estradiol (estradiol - E2), serum	Laboratuar Hizmeti	1336	2.4.108
117290	18297	Psixiatrik müayinə	Muayene Hizmeti	1332	2.1.1
104385	13402	Anti-tiroid peroksidaza anticisimləri (anti-TPO)	Laboratuar Hizmeti	1331	
110407	35849	Okt, makula	Diğer Hizmet	1307	2.1.334
106470	13819	Servikal və ya vaginal (pap smear) şərti, sitopatoloji müayinə	Patoloji Hizmeti	1305	2.4.541
100270	19953	Anesteziyadan əvvəl müayinə	Muayene Hizmeti	1262	2.1.1
125722	52697	Pediatrik reanimasiyada yatan xəstənin reanımatoloq təqibi 3-cü kateqoriya	Yoğun Bakım Hizmeti	1256	
105714	10539	Ezofaqoskopiya, qastroskopiya və duodenoskopiya (ezofaqus-qastroduodenoskopiya)	Diğer Hizmet	1255	2.1.446
100292	31649	Anesteziya, 900-1999 ümumi məbləği olan əməliyyatlarda cərrahi bölmələr, A3 qrupu	Anestezi Hizmeti	1243	
117288	18299	Hematoloji müayinə	Muayene Hizmeti	1241	2.1.1
104422	13941	CA-125 (karbohidrat antigeni 125 - musin 16 - MUC 16), serum	Laboratuar Hizmeti	1234	2.4.338
116465	22799	Qeysəriyyə əməliyyatı	Ameliyat Hizmeti	1230	2.6.980
112432	41007	HBsAg (CARD testi)	Laboratuar Hizmeti	1185	
110019	35183	Nazoqastrik boru ilə qidalanma, günlük	Diğer Hizmet	1166	
120399	47363	Qan Donorları Check Up Paneli	CheckUp	1151	
105034	14995	Aerob qan kulturası, avtomatlaşdırılmış	Laboratuar Hizmeti	1147	2.4.424
105190	18839	Hepatit C (HCV) IgG, CARD testi	Laboratuar Hizmeti	1144	
103632	10485	Əzələ gücləndirmə məşqi, 45 Dəq	Fizik Tedavi Hizmeti	1131	
100049	50281	Qadın xəstəlikləri və doğuş müayinəsi, USM ile birlikte	Muayene Hizmeti	1128	2.1.8
104469	13366	Follikul stimullaşdırıcı hormon (FSH)	Laboratuar Hizmeti	1122	2.4.136
108308	10678	Kulturanın götürülməsi	Diğer Hizmet	1116	2.1.538
104364	13940	Alfa-fetoprotein	Laboratuar Hizmeti	1115	2.4.50
104910	13991	Faktor 1 (Faktor I - fibrinogen)	Laboratuar Hizmeti	1115	2.4.283
117318	18679	Uşaq nevroloji müayinəsi	Muayene Hizmeti	1101	2.1.1
104445	13245	Dəmir bağlama qabiliyyəti, total	Laboratuar Hizmeti	1093	2.4.156
103049	10680	Smear götürmək	Diğer Hizmet	1069	2.1.539
125620	52595	Helicobacter kart testi	Diğer Hizmet	1043	
121778	49127	MRT, bütün qarın, kontrastlı	Radyoloji Hizmeti	1034	2.1.317
100195	10394	Ventilyatorla təqib, günlük	Diğer Hizmet	1034	
105718	10548	Ezofaqoskopiya, qastroskopiya, duodenoskopiya və biopsiya	Diğer Hizmet	1031	
107072	15428	Ambulans xidməti, 2.bölğə həkimi ilə	Diğer Hizmet	1022	
103586	10464	Elektrik cərəyanı ilə motor nöqtəsinin əzələ stimulyasiyası	Fizik Tedavi Hizmeti	1003	2.2.24
103886	10634	Steril bölmədə baxım farqı, günlük	Diğer Hizmet	997	
100144	15370	Trombositlərin köçürülməsi, seans	Müdahale Hizmeti	991	
116166	22545	Fakoemülsifikasiya, o cümlədən gözdaxili linzaların (IOL) yerləşdirilməsi	Ameliyat Hizmeti	987	2.6.203
